year,amount,inflation rate;;;;
1979,16.88,0.11;;;;
1980,19.16,0.13;;;;
1981,21.14,0.10;;;;
1982,22.44,0.06;;;;
1983,23.16,0.03;;;;
1984,24.16,0.04;;;;
1985,25.02,0.04;;;;
1986,25.49,0.02;;;;
1987,26.42,0.04;;;;
1988,27.51,0.04;;;;
1989,28.84,0.05;;;;
1990,30.40,0.05;;;;
1991,31.67,0.04;;;;
1992,32.63,0.03;;;;
1993,33.60,0.03;;;;
1994,34.47,0.03;;;;
1995,35.44,0.03;;;;
1996,36.49,0.03;;;;
1997,37.33,0.02;;;;
1998,37.91,0.02;;;;
1999,38.74,0.02;;;;
2000,40.05,0.03;;;;
2001,41.19,0.03;;;;
2002,41.84,0.02;;;;
2003,42.79,0.02;;;;
2004,43.93,0.03;;;;
2005,45.42,0.03;;;;
2006,46.88,0.03;;;;
2007,48.22,0.03;;;;
2008,50.07,0.04;;;;
2009,49.89,-0.00;;;;
2010,50.71,0.02;;;;
2011,52.31,0.03;;;;
2012,53.39,0.02;;;;
2013,54.18,0.01;;;;
2014,55.05,0.02;;;;
2015,55.12,0.00;;;;
2016,55.82,0.01;;;;
2017,57.00,0.02;;;;
2018,58.43,0.02;;;;
2019,59.46,0.02;;;;
2020,60.19,0.01;;;;
2021,63.02,0.05;;;;
2022,64.84,0.03;;;;

